***2017

United States ,9456,10,9446,2031,912,2086,895,560,352,2610,325147
,,,,,,,,,,,
New England,10300,2,10298,2384,828,2476,472,604,349,3186,14803
Connecticut,9489,--    ,9489,2618,951,1068,699,637,330,3186,3574
Maine,8703,--    ,8703,1918,586,2394,342,740,232,2490,1335
Massachusetts,11305,2,11303,2366,808,3242,459,558,377,3495,6863
New Hampshire,8222,--    ,8222,2202,697,1806,132,561,311,2514,1350
Rhode Island,10320,18,10302,2376,655,2934,282,448,430,3177,1056
Vermont,11774,--    ,11774,2644,1430,2957,639,997,350,2758,625
,,,,,,,,,,,
Mideast,12028,3,12025,2947,829,2900,877,647,439,3385,48947
Delaware,11168,1,11167,2144,1518,2622,598,878,396,3011,957
District of Columbia,19053,--    ,19053,3999,179,5649,950,654,910,6711,696
Maryland,10046,--    ,10046,2274,1042,2191,359,560,443,3178,6025
New Jersey,10484,2,10482,3068,839,1991,614,561,401,3008,8889
New York,14381,--    ,14381,3517,724,3591,1229,624,530,4167,19591
Pennsylvania,10112,10,10102,2309,867,2680,783,765,302,2395,12790
,,,,,,,,,,,
Great Lakes,8884,1,8884,1918,930,2029,696,589,316,2405,46879
Illinois,9169,0,9168,2080,720,1773,411,731,413,3041,12786
Indiana,7961,0,7961,1534,965,2094,794,367,200,2007,6660
Michigan,8529,1,8528,1748,1189,1713,946,429,255,2248,9976
Ohio,9202,1,9201,2087,846,2460,739,520,327,2222,11664
Wisconsin,9288,--    ,9288,1960,1080,2193,692,949,322,2094,5792
,,,,,,,,,,,
Plains,9332,4,9329,2076,999,1863,957,760,301,2373,21277
Iowa,9864,--    ,9864,2126,1230,1797,1379,875,259,2199,3144
Kansas,9252,0,9252,2070,1199,1422,1457,661,296,2146,2911
Minnesota,10600,0,10600,2336,1022,2679,586,864,356,2758,5568
Missouri,7726,5,7721,1708,651,1541,1075,388,296,2061,6109
Nebraska,9204,27,9177,2455,1233,1475,704,821,260,2229,1918
North Dakota,12842,--    ,12842,2393,1474,2034,362,2297,307,3976,755
South Dakota,8091,--    ,8091,1733,858,1327,379,1148,241,2405,873
,,,,,,,,,,,
Southeast,7894,0,7894,1623,766,1639,922,505,309,2129,83665
Alabama,8516,--    ,8516,1611,1049,1740,1467,520,261,1868,4875
Arkansas,8226,0,8226,1709,877,2477,510,691,224,1738,3003
Florida,7346,--    ,7346,1351,525,1339,728,537,406,2460,20977
Georgia,6872,--    ,6872,1908,577,1168,678,418,262,1860,10413
Kentucky,8847,--    ,8847,1644,1006,2570,765,529,186,2147,4454
Louisiana,9145,--    ,9145,1731,745,2421,698,515,352,2683,4671
Mississippi,8748,--    ,8748,1546,1010,2130,1459,578,257,1768,2990
North Carolina,7848,--    ,7848,1465,991,1473,1348,474,313,1785,10271
South Carolina,8614,--    ,8614,1796,885,1590,1621,457,261,2004,5021
Tennessee,6918,--    ,6918,1459,559,1745,718,334,295,1808,6709
Virginia,8705,0,8705,2081,969,1421,894,582,298,2461,8465
West Virginia,9012,--    ,9012,1706,974,2763,422,676,217,2253,1817
,,,,,,,,,,,
Southwest,7852,1,7850,1792,1047,1582,738,524,301,1865,41398
Arizona,6838,--    ,6838,1170,859,2058,226,357,355,1814,7049
New Mexico,10207,--    ,10207,1774,1280,2886,873,432,337,2624,2093
Oklahoma,7473,15,7458,1463,1043,1723,582,660,266,1722,3933
Texas,7983,--    ,7983,1994,1078,1347,878,554,289,1842,28323
,,,,,,,,,,,
Rocky Mountain,8807,2,8805,1744,1163,1482,791,622,297,2706,12070
Colorado,8960,0,8959,1772,1149,1487,647,582,330,2992,5616
Idaho,6766,--    ,6766,1283,656,1467,543,514,264,2039,1719
Montana,8967,--    ,8967,1770,923,2121,494,802,299,2557,1053
Utah,8379,0,8379,1651,1474,1262,928,590,239,2235,3103
Wyoming,15393,40,15354,3298,1574,1493,2724,1173,387,4705,579
,,,,,,,,,,,
Far West [2],11116,54,11063,2064,1024,2571,1277,446,442,3238,53944
California,11634,73,11560,2116,1053,2840,1335,394,487,3336,39399
Nevada,7384,1,7384,1558,504,1317,495,683,427,2399,2972
Oregon,10807,--    ,10807,1828,1152,2531,1049,512,331,3404,4147
Washington,10037,--    ,10037,2121,1005,1668,1411,592,277,2963,7425
,,,,,,,,,,,
Alaska,17198,--    ,17198,3172,1145,3483,918,1909,494,6076,740
Hawaii,9834,0,9834,1453,847,2167,850,423,338,3756,1424

***2016

United States ,9175,10,9165,1961,892,2020,858,551,338,2546,323071
,,,,,,,,,,,
New England,10168,2,10167,2323,807,2440,455,623,345,3173,14759
Connecticut,9717,--    ,9717,2637,941,1077,658,719,349,3337,3579
Maine,8536,--    ,8536,1821,611,2385,337,756,218,2408,1331
Massachusetts,11027,1,11027,2268,761,3202,444,563,369,3420,6826
New Hampshire,8039,--    ,8039,2178,734,1683,148,534,293,2469,1342
Rhode Island,10063,17,10045,2284,646,2818,281,427,416,3173,1057
Vermont,11596,--    ,11596,2579,1398,3013,621,964,334,2686,624
,,,,,,,,,,,
Mideast,11554,3,11552,2835,814,2665,862,643,425,3308,48940
Delaware,10471,0,10471,2054,1330,2546,596,617,373,2953,949
District of Columbia,18600,--    ,18600,3797,232,5514,1057,517,864,6621,687
Maryland,9759,--    ,9759,2139,1057,2030,388,565,442,3138,6005
New Jersey,10445,1,10444,3041,787,1893,628,549,396,3149,8875
New York,13698,--    ,13698,3366,728,3314,1189,596,505,4000,19642
Pennsylvania,9576,10,9566,2208,842,2358,755,826,293,2284,12784
,,,,,,,,,,,
Great Lakes,8547,1,8546,1873,930,1957,677,551,310,2247,46820
Illinois,8691,0,8691,2069,740,1659,391,742,405,2685,12827
Indiana,7816,0,7815,1503,970,1925,913,408,189,1908,6633
Michigan,8303,1,8303,1703,1178,1701,904,385,252,2179,9952
Ohio,8865,5,8861,1991,825,2442,684,511,315,2093,11635
Wisconsin,8849,--    ,8849,1920,1090,2122,639,658,328,2092,5773
,,,,,,,,,,,
Plains,9067,4,9063,2012,987,1877,867,771,291,2257,21177
Iowa,9760,--    ,9760,2102,1251,1959,1263,826,249,2109,3132
Kansas,8659,0,8659,1940,1188,1376,1150,684,271,2050,2911
Minnesota,10243,0,10243,2214,920,2759,595,901,345,2509,5523
Missouri,7553,7,7546,1694,641,1505,997,386,296,2028,6087
Nebraska,9023,23,9001,2377,1276,1339,627,832,259,2291,1906
North Dakota,12577,--    ,12577,2483,1617,2031,306,2387,260,3492,754
South Dakota,8102,--    ,8102,1658,1021,1299,323,1214,233,2354,863
,,,,,,,,,,,
Southeast,7667,0,7667,1573,754,1565,914,491,295,2076,82896
Alabama,8261,--    ,8261,1583,1003,1728,1394,496,257,1800,4865
Arkansas,7958,0,7958,1702,907,2312,481,588,228,1741,2990
Florida,7048,--    ,7048,1326,523,1282,676,500,381,2359,20630
Georgia,6667,--    ,6667,1836,555,1143,680,401,259,1793,10305
Kentucky,8769,--    ,8769,1606,986,2526,736,623,172,2121,4438
Louisiana,8682,--    ,8682,1695,753,1916,741,512,342,2723,4678
Mississippi,8644,--    ,8644,1533,1061,2068,1428,559,253,1741,2988
North Carolina,7761,--    ,7761,1399,954,1406,1498,427,301,1777,10157
South Carolina,8219,--    ,8219,1737,841,1529,1575,372,250,1916,4958
Tennessee,6779,--    ,6779,1403,558,1759,683,335,272,1768,6645
Virginia,8475,0,8475,1953,948,1370,869,663,282,2390,8411
West Virginia,8863,--    ,8863,1686,958,2593,417,699,212,2298,1831
,,,,,,,,,,,
Southwest,7617,1,7616,1723,990,1552,720,486,285,1859,40903
Arizona,6602,--    ,6602,1129,859,1863,271,352,326,1802,6945
New Mexico,10461,--    ,10461,1748,1231,3000,1056,467,328,2631,2093
Oklahoma,7476,10,7466,1503,1028,1696,565,661,261,1752,3927
Texas,7676,--    ,7676,1900,999,1347,828,497,275,1830,27937
,,,,,,,,,,,
Rocky Mountain,8422,2,8420,1692,1122,1461,739,592,290,2522,11892
Colorado,8553,1,8552,1698,1082,1542,577,538,330,2786,5541
Idaho,6542,--    ,6542,1216,658,1450,573,500,256,1888,1683
Montana,8365,--    ,8365,1767,902,1701,491,834,283,2387,1041
Utah,7868,--    ,7868,1583,1447,1238,819,512,219,2051,3043
Wyoming,15573,35,15538,3449,1537,1461,2786,1366,400,4540,584
,,,,,,,,,,,
Far West [2],10873,53,10820,1958,999,2598,1167,471,414,3215,53515
California,11418,72,11347,2003,1018,2893,1221,437,448,3327,39209
Nevada,6947,2,6945,1447,483,1222,446,593,404,2350,2920
Oregon,10642,--    ,10642,1746,1224,2509,1018,511,322,3312,4091
Washington,9641,1,9641,2039,973,1615,1244,580,287,2903,7295
,,,,,,,,,,,
Alaska,18398,--    ,18398,3192,1474,3019,953,2145,497,7119,742
Hawaii,9599,0,9599,1486,777,1990,818,511,321,3696,1428

***2015

United States ,8868,10,8858,1902,854,1913,817,533,327,2512,320743
,,,,,,,,,,,
New England,9791,1,9789,2296,772,2248,429,613,333,3099,14730
Connecticut,9366,--    ,9366,2557,870,1046,638,657,327,3272,3588
Maine,8174,--    ,8174,1783,593,2300,326,671,200,2302,1328
Massachusetts,10606,0,10606,2279,758,2902,405,582,357,3322,6796
New Hampshire,7621,--    ,7621,2137,675,1409,132,541,300,2427,1336
Rhode Island,9914,17,9897,2221,613,2773,265,420,397,3208,1056
Vermont,11227,--    ,11227,2541,1218,2831,611,1054,348,2623,625
,,,,,,,,,,,
Mideast,11105,3,11102,2746,771,2485,798,618,413,3272,48921
Delaware,10102,1,10102,1999,1363,2423,588,497,383,2848,941
District of Columbia,18346,--    ,18346,3771,264,5277,1111,696,866,6362,675
Maryland,9690,--    ,9690,2128,994,2062,378,574,430,3125,5987
New Jersey,10226,2,10223,2964,723,1838,632,571,383,3112,8871
New York,13116,--    ,13116,3242,698,3069,1088,560,487,3971,19661
Pennsylvania,8978,10,8968,2121,795,2092,664,763,289,2245,12786
,,,,,,,,,,,
Great Lakes,8433,1,8432,1837,898,1881,656,547,297,2316,46784
Illinois,8975,1,8975,2047,752,1729,378,689,389,2991,12864
Indiana,7423,0,7422,1478,887,1754,859,414,182,1849,6608
Michigan,8032,1,8031,1684,1110,1649,860,367,245,2115,9933
Ohio,8540,1,8539,1917,813,2253,675,505,294,2082,11618
Wisconsin,8856,--    ,8856,1884,1045,2015,656,777,316,2164,5761
,,,,,,,,,,,
Plains,8711,6,8705,1942,943,1769,830,732,282,2207,21085
Iowa,9575,--    ,9575,2051,1264,1871,1227,851,239,2073,3121
Kansas,8399,12,8387,1944,1134,1325,1006,656,270,2051,2910
Minnesota,9524,0,9524,2082,856,2474,569,803,336,2404,5483
Missouri,7393,9,7384,1671,650,1469,948,396,283,1967,6072
Nebraska,8762,23,8739,2211,1160,1354,719,767,246,2283,1892
North Dakota,11960,--    ,11960,2287,1463,1912,307,2241,254,3496,754
South Dakota,7786,--    ,7786,1661,815,1304,322,1082,229,2373,854
,,,,,,,,,,,
Southeast,7535,0,7535,1553,734,1551,864,471,289,2073,82038
Alabama,8299,--    ,8299,1545,1002,1679,1271,492,255,2056,4853
Arkansas,7773,0,7773,1686,860,2213,470,575,227,1742,2978
Florida,7057,--    ,7057,1317,510,1333,673,517,372,2334,20224
Georgia,6495,--    ,6495,1792,529,1153,693,313,250,1765,10181
Kentucky,8482,--    ,8482,1549,902,2460,674,659,174,2064,4426
Louisiana,8509,--    ,8509,1695,659,1817,762,490,328,2759,4665
Mississippi,8393,--    ,8393,1491,952,1956,1353,540,244,1857,2989
North Carolina,7554,--    ,7554,1383,959,1453,1298,413,298,1751,10033
South Carolina,7991,--    ,7991,1682,827,1558,1479,323,235,1887,4892
Tennessee,6676,--    ,6676,1395,594,1646,640,336,274,1791,6591
Virginia,8247,0,8247,1953,948,1301,826,603,278,2338,8363
West Virginia,8516,--    ,8516,1710,902,2517,385,597,203,2203,1842
,,,,,,,,,,,
Southwest,7360,1,7358,1677,973,1439,709,460,275,1826,40320
Arizona,6071,--    ,6071,1132,806,1480,272,327,309,1745,6834
New Mexico,10325,--    ,10325,1807,1227,2774,1051,516,324,2627,2090
Oklahoma,7354,13,7340,1514,916,1707,546,664,252,1740,3910
Texas,7456,--    ,7456,1826,1004,1289,814,459,266,1798,27487
,,,,,,,,,,,
Rocky Mountain,8193,2,8191,1637,1028,1405,695,609,292,2524,11702
Colorado,8266,0,8265,1665,987,1462,548,540,326,2738,5452
Idaho,6815,--    ,6815,1198,634,1544,622,535,245,2038,1652
Montana,8013,--    ,8013,1714,836,1473,478,876,311,2325,1031
Utah,7564,--    ,7564,1481,1325,1201,702,531,231,2093,2982
Wyoming,14916,34,14882,3284,1353,1405,2620,1388,380,4452,586
,,,,,,,,,,,
Far West [2],10187,53,10135,1813,934,2400,1111,457,394,3025,53002
California,10612,72,10540,1850,955,2628,1163,425,424,3094,38953
Nevada,6824,1,6824,1437,512,1172,445,494,392,2374,2869
Oregon,10139,--    ,10139,1656,1065,2472,930,512,303,3201,4017
Washington,9253,1,9252,1850,917,1613,1196,583,279,2814,7164
,,,,,,,,,,,
Alaska,20072,--    ,20072,3595,1173,2729,988,2161,536,8891,738
Hawaii,9180,0,9180,1388,761,1853,831,491,321,3536,1422

***2014

United States ,8553,10,8543,1844,843,1711,809,518,320,2497,318386
,,,,,,,,,,,
New England,9736,1,9734,2245,744,2335,396,579,337,3098,14704
Connecticut,9964,--    ,9964,2472,809,1903,603,632,316,3229,3595
Maine,8529,--    ,8529,1725,607,2644,365,645,197,2345,1331
Massachusetts,10291,0,10291,2252,733,2683,350,519,378,3375,6764
New Hampshire,7316,--    ,7316,2069,640,1156,122,588,299,2441,1333
Rhode Island,9332,17,9314,2169,616,2403,268,450,375,3032,1056
Vermont,10827,--    ,10827,2487,1225,2780,566,968,330,2471,625
,,,,,,,,,,,
Mideast,10776,3,10773,2665,784,2294,803,579,404,3244,48865
Delaware,10084,1,10083,2046,1315,2244,603,534,368,2973,933
District of Columbia,17793,--    ,17793,3666,228,4926,981,605,913,6473,663
Maryland,9275,--    ,9275,2106,1025,1865,373,520,406,2980,5958
New Jersey,9981,2,9979,2944,688,1600,689,584,387,3087,8867
New York,12724,--    ,12724,3109,762,2787,1089,536,478,3963,19656
Pennsylvania,8720,11,8709,2042,764,2084,647,671,277,2223,12789
,,,,,,,,,,,
Great Lakes,8116,1,8116,1795,894,1693,647,503,290,2293,46768
Illinois,8586,1,8586,2009,731,1593,336,604,383,2930,12889
Indiana,7277,1,7277,1459,881,1624,924,378,182,1828,6594
Michigan,7689,1,7688,1646,1109,1398,855,348,241,2090,9931
Ohio,8184,1,8183,1851,815,1975,673,465,283,2121,11603
Wisconsin,8626,--    ,8626,1843,1065,1934,619,763,307,2096,5752
,,,,,,,,,,,
Plains,8401,5,8396,1861,907,1676,806,703,273,2171,20984
Iowa,9146,--    ,9146,1988,1218,1671,1197,782,234,2057,3110
Kansas,8196,0,8195,1875,1060,1261,1038,614,261,2086,2901
Minnesota,9252,0,9252,1970,858,2369,578,773,319,2384,5452
Missouri,7174,11,7163,1639,621,1419,866,401,282,1934,6056
Nebraska,8283,23,8259,2083,1088,1392,681,684,236,2096,1880
North Dakota,11082,--    ,11082,2064,1376,1564,292,2277,224,3286,737
South Dakota,7611,--    ,7611,1549,798,1218,340,1105,213,2388,849
,,,,,,,,,,,
Southeast,7369,0,7369,1527,723,1447,861,464,279,2068,81249
Alabama,8184,--    ,8184,1554,972,1622,1257,471,241,2066,4842
Arkansas,7379,0,7379,1643,889,1880,447,557,218,1745,2968
